1887,,,,,,,
,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,,cSCI
Zfhx2,3.67E-15,0.407392761,0.506,0.449,9.75E-11,0,0
Dner,1.80E-29,0.407046024,0.765,0.717,4.78E-25,0,0.445833923
Mir9-3hg,5.70E-38,0.405896757,0.783,0.725,1.52E-33,0,0
Ajap1,6.07E-18,0.40505019,0.535,0.467,1.61E-13,0,0
Dnajc19,6.23E-14,0.404559897,0.543,0.493,1.66E-09,0,0
Arl6ip5,6.42E-07,0.40402827,0.311,0.271,0.017075625,0,0.620420006
Tspan14,3.52E-09,0.403739588,0.437,0.393,9.35E-05,0,0
Arhgap12,5.70E-23,0.401943793,0.715,0.687,1.52E-18,0,0
Rgs6,1.94E-73,0.40089353,0.975,0.971,5.16E-69,0,1.100985918
Shisa9,8.88E-22,0.40013942,0.734,0.699,2.36E-17,0,0
Sfmbt1,3.27E-17,0.399981268,0.618,0.569,8.70E-13,0,0.533930615
Dgkb,9.17E-58,0.399131716,0.935,0.916,2.44E-53,0,0.641752435
Shc3,7.21E-31,0.395806523,0.777,0.739,1.92E-26,0,0
Galnt14,1.34E-11,0.395274211,0.543,0.5,3.57E-07,0,0
Ptprd,0,0.39340805,1,1,0,0,0
Pip5k1b,1.09E-18,0.392037767,0.676,0.632,2.90E-14,0,0
Ptk2b,4.81E-73,0.391960456,0.941,0.931,1.28E-68,0.326913747,0.513689321
Apex2,1.51E-21,0.388413194,0.641,0.593,4.02E-17,0,0.568977102
Taok3,4.52E-21,0.388363045,0.716,0.684,1.20E-16,0,0.496288554
Rora,2.38E-96,0.387899539,0.991,0.984,6.32E-92,0,0.415333863
Ppp2r1b,6.06E-09,0.387028527,0.325,0.272,0.000161161,0,0
Cyp46a1,1.27E-09,0.386146865,0.392,0.338,3.37E-05,0,0.447397774
Chrd,1.04E-10,0.385673899,0.486,0.44,2.77E-06,0,0
9530036O11Rik,2.70E-13,0.385654033,0.543,0.498,7.18E-09,0,0.347587275
Map3k9,1.33E-09,0.384528905,0.429,0.384,3.53E-05,0,0
Alcam,5.31E-12,0.384148069,0.609,0.579,1.41E-07,0,0
Epha10,5.45E-59,0.384051924,0.924,0.903,1.45E-54,0,0.57244474
Slc16a2,7.83E-16,0.382242296,0.579,0.517,2.08E-11,0,0
Sntb2,1.84E-63,0.380827213,0.945,0.928,4.89E-59,0,0.53887613
Nsg2,3.80E-20,0.37963449,0.658,0.606,1.01E-15,0,0
Ahi1,1.90E-98,0.379329257,0.998,0.99,5.04E-94,-0.368962669,0
Ar,5.82E-08,0.37875498,0.432,0.389,0.001547418,0,0
Osbp2,3.66E-40,0.376893204,0.862,0.827,9.72E-36,0,0.369229066
Bcl2,9.65E-09,0.376305756,0.439,0.4,0.000256617,0,0
Rab30,2.47E-38,0.374784411,0.828,0.786,6.57E-34,0,0
Cpne8,4.43E-21,0.372207409,0.698,0.643,1.18E-16,0,0
Exoc6b,4.79E-97,0.371346001,0.976,0.961,1.27E-92,0,0
Klhl12,8.82E-10,0.369914321,0.498,0.459,2.35E-05,0,0
Chd5,1.96E-28,0.368209291,0.802,0.738,5.21E-24,0,0
Tmem132b,1.30E-81,0.367745627,0.971,0.949,3.46E-77,0,0
Cwf19l2,5.68E-12,0.365980359,0.458,0.401,1.51E-07,0.422629415,0.798338472
Tmem126a,5.75E-11,0.365798187,0.655,0.628,1.53E-06,0,0
Nme7,8.54E-28,0.365538144,0.763,0.719,2.27E-23,0,0
Dennd5a,2.75E-18,0.365000775,0.649,0.601,7.32E-14,0,0.536483955
Syt17,1.02E-06,0.362092087,0.517,0.501,0.027191942,0.491352237,1.224517969
Syt14,4.42E-12,0.36187533,0.578,0.55,1.18E-07,0,0
Galnt9,5.39E-55,0.361747543,0.916,0.89,1.43E-50,0,0
Adgra1,7.14E-32,0.360201434,0.851,0.812,1.90E-27,0,0
Gabra5,7.19E-22,0.358516909,0.684,0.646,1.91E-17,0,0
Stk3,3.70E-19,0.357277023,0.68,0.643,9.85E-15,0,0
Ski,4.50E-18,0.356813743,0.666,0.643,1.20E-13,0,0
Ctdspl,2.86E-24,0.356136066,0.756,0.715,7.62E-20,0.336849694,0.59450552
A230006K03Rik,4.01E-110,0.354740669,0.989,0.984,1.07E-105,0,0
Dpysl5,8.48E-07,0.354335564,0.317,0.272,0.022539269,0,-0.506265682
Slc9a9,7.95E-48,0.35428262,0.931,0.919,2.11E-43,0,0
Eftud2,9.59E-13,0.353358332,0.588,0.549,2.55E-08,0,0.568896617
Brinp2,8.27E-25,0.352819979,0.774,0.743,2.20E-20,0,0
Cenpp,1.89E-08,0.350818876,0.519,0.486,0.000501394,0,0
Zmynd8,3.32E-39,0.350337853,0.896,0.869,8.84E-35,0.365904833,0.815167537
Lrrn2,3.45E-12,0.350259989,0.622,0.588,9.18E-08,0,0
Cpt1c,1.47E-16,0.349945592,0.673,0.628,3.92E-12,0,0
Tead1,8.32E-07,0.349710582,0.437,0.406,0.022123475,0,0
Hdac7,6.47E-08,0.347953522,0.44,0.403,0.00172052,0,0
Ubac2,1.97E-21,0.347772904,0.725,0.678,5.24E-17,0,0
Gfod1,1.49E-48,0.347718886,0.901,0.868,3.96E-44,0,0
Sik2,2.23E-46,0.346843296,0.89,0.843,5.94E-42,0,0
Traip,7.97E-13,0.345563789,0.373,0.306,2.12E-08,0,0
Ercc5,5.32E-07,0.345461902,0.424,0.393,0.014148537,0,0
Bmerb1,3.18E-37,0.345424662,0.848,0.823,8.44E-33,0,0.321097755
Dapk1,1.08E-53,0.34483848,0.924,0.898,2.86E-49,0,0
Rnf165,9.38E-13,0.344713483,0.611,0.582,2.49E-08,0,0
Pgr,2.17E-10,0.344501552,0.528,0.487,5.77E-06,0,0
Foxk1,4.27E-08,0.340343031,0.485,0.449,0.001134256,0.39004837,0
Polr1a,6.68E-07,0.340079621,0.391,0.355,0.017747433,0,0
Hecw1,4.57E-74,0.339498482,0.984,0.975,1.21E-69,0,0.757929578
Nf2,6.59E-17,0.338632629,0.639,0.595,1.75E-12,0,0
Daam1,6.20E-22,0.33769412,0.729,0.694,1.65E-17,0,0
Hipk2,1.98E-17,0.337481363,0.677,0.642,5.28E-13,0,0
Ppfibp1,5.99E-07,0.335752458,0.403,0.366,0.015921828,0,0
Ube2i,2.86E-07,0.335716986,0.4,0.361,0.0076031,0,0
Ptchd1,3.01E-13,0.3354537,0.6,0.558,7.99E-09,0,0
Ccl25,1.65E-10,0.335446277,0.529,0.484,4.40E-06,0,0
Immp1l,7.98E-11,0.334429503,0.645,0.618,2.12E-06,0,0
Fam171b,2.74E-23,0.331586617,0.794,0.764,7.28E-19,0,0.320917879
Plxna4,1.20E-61,0.331518388,0.972,0.952,3.19E-57,0,0
Snx25,1.15E-16,0.331186305,0.655,0.616,3.05E-12,0,0
Stx3,7.52E-12,0.33081773,0.547,0.509,2.00E-07,0,0
A330076H08Rik,7.22E-21,0.330219947,0.745,0.717,1.92E-16,0,0
Dnm3,5.02E-42,0.329667993,0.927,0.901,1.33E-37,0,0
1810034E14Rik,2.25E-11,0.328283668,0.695,0.661,5.97E-07,0,0
Nrg3os,1.60E-53,0.328186316,0.984,0.969,4.24E-49,0,0
Pigk,7.28E-38,0.328079604,0.965,0.947,1.94E-33,0,0
Slc1a4,1.17E-06,0.327821957,0.346,0.306,0.031057861,0,0
Gng12,2.61E-27,0.324697758,0.825,0.796,6.94E-23,0,0
Mmp17,5.94E-23,0.324533731,0.759,0.712,1.58E-18,0,0
Lonp2,7.51E-26,0.324497286,0.791,0.757,2.00E-21,0,0
Upp2,7.78E-47,0.324218028,0.945,0.932,2.07E-42,0,0
Carmil1,5.71E-41,0.322400541,0.874,0.852,1.52E-36,0,0
A830018L16Rik,2.80E-60,0.320096819,0.986,0.977,7.44E-56,0,0.558712579
Cadm1,4.58E-54,-0.320048624,0.954,0.977,1.22E-49,0,0
Rps3a1,7.39E-10,-0.320307214,0.225,0.294,1.96E-05,0,0
Hnrnph2,2.47E-09,-0.320530309,0.273,0.342,6.57E-05,0,0
Pdha1,2.52E-08,-0.320636159,0.217,0.275,0.000670637,0,0
Ifrd1,1.87E-21,-0.320726057,0.585,0.689,4.97E-17,-0.37601671,0
Pdcl3,8.96E-07,-0.32082474,0.11,0.151,0.023821217,0,0
Grem2,5.31E-08,-0.320844559,0.152,0.203,0.001410582,0,0
Grip2,1.93E-08,-0.321099138,0.362,0.428,0.000512931,0,0
Ptgr2,7.31E-09,-0.321463254,0.15,0.204,0.000194474,0,0
Sgsm3,1.20E-18,-0.32186674,0.595,0.694,3.19E-14,0,0
Hacd1,2.04E-14,-0.321918566,0.419,0.515,5.43E-10,0,0
Cmc2,2.49E-08,-0.322156326,0.16,0.214,0.000660761,0,0
Cep170b,3.62E-07,-0.322258356,0.257,0.316,0.00962017,-0.36224445,-0.320211222
Skil,4.34E-13,-0.322388207,0.477,0.565,1.15E-08,-0.325207178,0
Ldb1,3.02E-08,-0.322529781,0.231,0.289,0.000801813,0,0
Rer1,3.66E-12,-0.322856939,0.161,0.229,9.73E-08,0,0
Rcc2,3.71E-13,-0.322913088,0.251,0.335,9.86E-09,0,0
Cttnbp2,5.44E-123,-0.322965112,0.994,0.997,1.45E-118,0,0
Rnf24,1.24E-20,-0.323048265,0.543,0.655,3.29E-16,0,0
Tpra1,2.80E-08,-0.323092594,0.137,0.188,0.000744251,0,0
Sncb,1.58E-18,-0.323272678,0.491,0.589,4.21E-14,0,0
Stmn3,4.63E-34,-0.323481706,0.844,0.902,1.23E-29,0,0
Med7,5.85E-08,-0.323775231,0.122,0.168,0.001554494,0,0
4732440D04Rik,1.35E-13,-0.323826641,0.218,0.3,3.60E-09,0,0
Brca2,1.26E-07,-0.324336341,0.14,0.187,0.003341041,0,0.484530785
Pxylp1,6.43E-09,-0.325059398,0.189,0.248,0.000171038,0.43762294,0
Gga1,3.46E-12,-0.325120397,0.258,0.34,9.20E-08,0,0
Yars2,9.32E-07,-0.325240083,0.077,0.111,0.0247732,0,0
Rrp1,1.59E-12,-0.325309113,0.324,0.411,4.22E-08,0,0
Ccdc61,7.02E-08,-0.325311387,0.124,0.171,0.001865917,0,0
Rusc1,1.05E-11,-0.325636801,0.401,0.486,2.80E-07,-0.336276716,0
Rbfa,2.66E-07,-0.325953706,0.069,0.104,0.007062523,0,0
Cspg5,4.48E-18,-0.326052212,0.483,0.588,1.19E-13,0,0
Srebf2,3.67E-22,-0.326938508,0.667,0.762,9.75E-18,0,0
Sigmar1,6.19E-17,-0.327178792,0.367,0.474,1.65E-12,0,0
Zfp213,3.78E-09,-0.327321097,0.076,0.118,0.000100625,0,0
Pnpla6,3.63E-11,-0.327487386,0.314,0.39,9.66E-07,0,0
Fra10ac1,2.15E-14,-0.327517506,0.286,0.38,5.71E-10,0,0
Abca2,5.12E-11,-0.327725459,0.37,0.453,1.36E-06,0,0
Polr2c,3.92E-10,-0.32792963,0.23,0.298,1.04E-05,0,0
Usp2,9.67E-18,-0.328065878,0.441,0.55,2.57E-13,0,0
Abcd2,1.26E-14,-0.328118437,0.279,0.369,3.36E-10,0,0
2810006K23Rik,7.41E-07,-0.328213785,0.091,0.128,0.019698281,0,0
Micos10,7.05E-18,-0.328245863,0.541,0.638,1.88E-13,0,0
Gpr108,2.33E-07,-0.328292296,0.141,0.188,0.006192379,0,0
Arhgap33,1.52E-07,-0.328371944,0.242,0.301,0.004029112,0,0
Rps15,3.51E-10,-0.328997774,0.271,0.347,9.32E-06,0,0
Psenen,1.79E-10,-0.329432738,0.125,0.181,4.77E-06,0,0
Exd2,9.97E-11,-0.32972868,0.483,0.565,2.65E-06,0,0
Dnaic1,2.53E-12,-0.32980589,0.179,0.251,6.73E-08,0,-0.367413778
Nmt2,1.28E-39,-0.329813254,0.815,0.883,3.41E-35,0,0
Btbd8,2.80E-13,-0.330259124,0.335,0.426,7.44E-09,0,0
Phyhipl,7.75E-13,-0.330628607,0.311,0.4,2.06E-08,-0.32554384,0
Aplp1,2.80E-22,-0.330722702,0.563,0.674,7.46E-18,0,0
Ing1,5.58E-07,-0.331392977,0.077,0.112,0.014847467,-0.482034189,0
Ano3,1.77E-90,-0.331424743,0.985,0.993,4.72E-86,-0.350426878,0
1500011B03Rik,3.87E-14,-0.331670155,0.261,0.348,1.03E-09,0,0.377309001
2900079G21Rik,9.10E-11,-0.331705596,0.155,0.217,2.42E-06,-0.343637455,-0.598485448
Pigs,2.07E-08,-0.331889944,0.14,0.191,0.000549058,0,0
Cdk6,2.82E-07,-0.33201637,0.134,0.18,0.007498178,0,0
Rabac1,2.66E-13,-0.332073098,0.308,0.397,7.08E-09,0,0
Ap2a1,9.37E-16,-0.332271366,0.517,0.601,2.49E-11,0,0
Cox7c,8.22E-22,-0.332398416,0.623,0.715,2.19E-17,0,0
Jag2,9.02E-09,-0.332405329,0.245,0.31,0.000239772,0,0
Stk25,2.74E-12,-0.332793234,0.438,0.527,7.28E-08,0,0
Naa10,3.80E-07,-0.332849716,0.112,0.153,0.010090589,0,0
Mrpl55,1.63E-08,-0.333147312,0.115,0.163,0.000432714,0,0
Smap1,4.56E-45,-0.333328764,0.851,0.896,1.21E-40,0,0
Arntl,8.12E-26,-0.333509054,0.687,0.773,2.16E-21,0,0
Slc22a17,3.68E-28,-0.333675395,0.653,0.754,9.79E-24,0,0
Nxt1,6.85E-07,-0.333750123,0.091,0.129,0.01822086,0,0
Bloc1s2,2.91E-11,-0.334106499,0.27,0.345,7.75E-07,0,0
Arl1,1.23E-06,-0.334264489,0.173,0.221,0.032664541,0,0
Mir124-2hg,2.52E-24,-0.334268636,0.576,0.685,6.70E-20,0,0
Mtch2,5.27E-41,-0.334508127,0.81,0.873,1.40E-36,0,0
Mdh1,3.13E-31,-0.334665854,0.766,0.834,8.33E-27,0,0
Sh3glb2,9.04E-18,-0.335239061,0.523,0.624,2.40E-13,-0.345258281,0
Mdh2,5.59E-14,-0.33548489,0.425,0.518,1.49E-09,0,0
Rnf7,8.45E-07,-0.335616198,0.091,0.127,0.02247553,0,0
Pdcd5,1.22E-09,-0.33600259,0.17,0.228,3.26E-05,0,0
Slc25a51,5.06E-14,-0.336291087,0.251,0.337,1.34E-09,0,0
P4ha1,3.23E-30,-0.336331292,0.671,0.764,8.60E-26,-0.439407797,0
Hnrnpk,3.18E-17,-0.336549727,0.512,0.61,8.44E-13,0,0
Car10,5.51E-44,-0.336784997,0.914,0.944,1.46E-39,0,0
Idh3g,1.64E-14,-0.336969209,0.242,0.331,4.37E-10,0,0
9430041J12Rik,8.10E-10,-0.337013905,0.12,0.173,2.15E-05,-0.454783189,-0.891163922
4931406P16Rik,2.92E-23,-0.337070974,0.569,0.663,7.75E-19,0,0
Cap1,1.14E-26,-0.337274308,0.54,0.658,3.03E-22,0,0
Abhd8,1.31E-10,-0.337291334,0.175,0.241,3.47E-06,0,0
Gramd1a,1.48E-09,-0.338338202,0.342,0.418,3.92E-05,0,0
Pet100,4.93E-13,-0.338407339,0.367,0.457,1.31E-08,0,0
Dda1,1.72E-08,-0.338535824,0.147,0.201,0.000457401,0,0
Eif2b5,6.79E-11,-0.338598446,0.205,0.275,1.81E-06,0,0
Cisd1,5.24E-13,-0.338898631,0.223,0.305,1.39E-08,0,0
Diras2,1.27E-16,-0.339512276,0.429,0.524,3.38E-12,0,0
Plcxd2,1.10E-11,-0.339975007,0.271,0.349,2.93E-07,-0.81996552,0
Hnrnpa0,3.16E-09,-0.34032808,0.134,0.188,8.39E-05,0,0
Sec61a1,3.13E-16,-0.340545144,0.43,0.533,8.31E-12,0,0
Zranb3,1.95E-19,-0.340579018,0.328,0.441,5.18E-15,0,0
Snx11,1.77E-09,-0.340602881,0.24,0.307,4.70E-05,0,0
Dnajc27,1.05E-08,-0.340620353,0.275,0.341,0.000279271,0,0
Spcs3,1.11E-06,-0.340808996,0.186,0.233,0.029540712,0,0
Cd276,6.58E-10,-0.341747558,0.118,0.171,1.75E-05,0,0
Thnsl1,9.77E-13,-0.341775615,0.214,0.294,2.60E-08,0,0
Nr2c2ap,5.48E-09,-0.342000561,0.114,0.164,0.00014574,0,0
Clybl,1.19E-08,-0.342172455,0.422,0.501,0.000315147,0,0
C920021L13Rik,1.79E-12,-0.342674004,0.281,0.363,4.75E-08,0.386209869,0.485409599
Elmo2,1.02E-11,-0.34273656,0.311,0.393,2.72E-07,0,0
Ppp5c,2.09E-13,-0.342870427,0.26,0.344,5.55E-09,0,0
Tmx1,1.13E-10,-0.342887882,0.242,0.313,3.01E-06,0,0
Prcp,4.48E-14,-0.343272482,0.253,0.34,1.19E-09,0,0
Ankrd13d,1.94E-12,-0.3435022,0.346,0.429,5.16E-08,-0.360616993,0
Slc37a4,8.94E-07,-0.344423098,0.078,0.113,0.023762587,0,0
Rps19,9.96E-13,-0.344638809,0.196,0.273,2.65E-08,0,0
Nt5c,2.65E-07,-0.34473204,0.116,0.16,0.007057908,0,0
Ttc39b,3.65E-29,-0.344793532,0.655,0.753,9.71E-25,0,0
Ndufc2,3.93E-11,-0.344838438,0.299,0.38,1.04E-06,0,0
Sod1,5.34E-07,-0.345198722,0.191,0.242,0.014187046,0,0
Polr2g,4.17E-09,-0.345427182,0.276,0.343,0.000110827,0,0
Gas5,2.60E-24,-0.345460745,0.653,0.748,6.91E-20,-0.325600242,0
Btf3,3.24E-07,-0.345806813,0.182,0.232,0.008611995,0,0
Atg4d,4.03E-21,-0.345958339,0.392,0.512,1.07E-16,0,0
Nkiras1,1.27E-19,-0.346103464,0.494,0.597,3.39E-15,-0.375409486,0
Gda,1.87E-40,-0.34614248,0.852,0.91,4.97E-36,0,0
Zfp839,5.35E-11,-0.346536405,0.135,0.194,1.42E-06,0,0
A330093E20Rik,1.79E-27,-0.346724045,0.594,0.713,4.75E-23,0,0
Fbxo33,3.03E-17,-0.346757551,0.36,0.463,8.06E-13,-0.374237058,0
Haus3,2.22E-11,-0.34690539,0.254,0.329,5.91E-07,0,0
Taf7,4.80E-16,-0.347197009,0.173,0.257,1.28E-11,0,0
Usp3,1.35E-37,-0.347420681,0.758,0.847,3.59E-33,0,0
Cox17,7.26E-11,-0.347468545,0.132,0.191,1.93E-06,-0.345494647,0
Vdac2,9.67E-12,-0.347471084,0.385,0.467,2.57E-07,0,0
Fkbp3,5.52E-18,-0.347923221,0.419,0.528,1.47E-13,0,0
Polg,4.38E-24,-0.348181071,0.591,0.698,1.16E-19,0,0
Mrfap1,1.55E-06,-0.348211613,0.137,0.179,0.041196092,0,0
Dedd,6.07E-07,-0.348498469,0.117,0.158,0.016150726,0,0
Pa2g4,1.24E-09,-0.34867859,0.184,0.246,3.30E-05,0,0
Kank3,7.48E-09,-0.349142151,0.149,0.202,0.000198834,0,0
Tkt,2.15E-08,-0.349407712,0.191,0.249,0.000571591,0,0
Rpl35,1.04E-07,-0.349546332,0.13,0.177,0.002751736,0,0
Asna1,4.28E-09,-0.349655619,0.104,0.152,0.000113737,0,0
Mcee,1.41E-06,-0.349785001,0.105,0.144,0.03752083,0,0
Pip4k2a,3.19E-46,-0.350089078,0.843,0.896,8.48E-42,0,0
Retreg2,6.86E-11,-0.350182197,0.181,0.249,1.82E-06,0,0
Abca7,1.37E-16,-0.350337311,0.358,0.46,3.64E-12,0,0
Kifc2,1.29E-22,-0.350436017,0.641,0.744,3.42E-18,0,0
Sh3bgrl2,1.02E-26,-0.350637192,0.594,0.708,2.71E-22,0,0
Ccdc7b,1.08E-12,-0.350721028,0.276,0.358,2.86E-08,0,0
Trpc3,1.34E-11,-0.350920694,0.341,0.422,3.57E-07,0,0
Cthrc1,1.57E-11,-0.350996484,0.375,0.455,4.18E-07,0,0
Lrsam1,6.32E-09,-0.351017447,0.326,0.395,0.000168032,0.40551437,0
Nop53,7.90E-07,-0.351261548,0.096,0.134,0.021013237,0,0
Usp39,6.00E-08,-0.351730429,0.183,0.236,0.001595238,0,0
Pnrc1,2.94E-07,-0.35201326,0.091,0.129,0.007806951,-0.32497666,0
Eef1b2,6.77E-09,-0.352420625,0.135,0.187,0.000180019,0,0
B4gat1,1.70E-07,-0.352437864,0.087,0.127,0.004525342,0.325162377,0.513951264
Cdk5,2.46E-16,-0.352447312,0.435,0.544,6.54E-12,0,0
Zfp444,5.71E-09,-0.352466814,0.326,0.397,0.000151926,0,0
Calm3,6.61E-14,-0.353047727,0.335,0.424,1.76E-09,0,0
Idh3a,1.47E-14,-0.353110538,0.362,0.457,3.90E-10,0,0
Nap1l3,7.45E-09,-0.353201894,0.117,0.166,0.000197965,0,0
Bnip3,4.01E-09,-0.35376918,0.252,0.32,0.000106577,0,-0.419690458
Arhgef9,7.91E-58,-0.353835031,0.879,0.926,2.10E-53,0,0
Psmc4,1.12E-12,-0.353921758,0.209,0.286,2.98E-08,0,0
Abhd16a,4.16E-11,-0.354346197,0.242,0.314,1.11E-06,0,0
Pip5k1c,5.97E-18,-0.354511458,0.406,0.511,1.59E-13,0,0
Rmnd1,6.70E-25,-0.354937904,0.565,0.681,1.78E-20,0,0
Bdnf,1.96E-13,-0.35500542,0.211,0.291,5.20E-09,-0.736146472,0
Chmp2a,8.71E-09,-0.355232409,0.148,0.202,0.000231603,0,0
Ndrg3,7.92E-70,-0.355271493,0.919,0.949,2.10E-65,0,0
Ankrd31,1.41E-07,-0.355530455,0.147,0.195,0.003761391,-0.616863349,0
Atp6v0b,1.18E-69,-0.35562862,0.969,0.98,3.14E-65,0,0
Rab36,4.46E-18,-0.355665002,0.451,0.555,1.19E-13,0,0
Hexb,1.47E-10,-0.355712999,0.33,0.406,3.91E-06,-0.506968298,0
Dynlrb1,1.38E-10,-0.355759155,0.207,0.276,3.68E-06,0,0
Slco2a1,1.98E-15,-0.355958531,0.303,0.397,5.27E-11,0,0
C1qtnf4,2.41E-08,-0.356016141,0.119,0.168,0.000640464,0,0
Rhbdl1,6.63E-13,-0.356471844,0.379,0.469,1.76E-08,0,0
Vcpkmt,4.05E-10,-0.357229235,0.095,0.144,1.08E-05,0,0
Rnasek,1.77E-13,-0.357292395,0.21,0.289,4.70E-09,0,0
Pgls,4.27E-07,-0.357566438,0.087,0.124,0.011345722,0,0
Car7,6.43E-16,-0.358108924,0.425,0.52,1.71E-11,0,0
Hspd1,5.91E-13,-0.358200142,0.302,0.385,1.57E-08,0,0
Tmprss7,1.53E-07,-0.358312968,0.106,0.148,0.004064743,-0.634186617,0
Taf13,1.86E-13,-0.358765299,0.171,0.246,4.94E-09,-0.476535492,0
Mrpl28,3.94E-09,-0.358874264,0.099,0.146,0.00010471,0,0
Malat1,3.01E-97,-0.359134474,1,1,8.01E-93,0,0
Sema6c,1.52E-08,-0.359214697,0.113,0.16,0.000405212,0,0
Zfp804a,5.78E-38,-0.35967805,0.775,0.863,1.54E-33,-0.339557495,0
Ndn,1.88E-09,-0.359820119,0.101,0.15,5.00E-05,0,0
Rab5if,9.21E-16,-0.359905094,0.27,0.363,2.45E-11,0,0
E330009J07Rik,8.72E-12,-0.359906899,0.233,0.308,2.32E-07,0,0
2310002F09Rik,6.61E-08,-0.360306129,0.064,0.099,0.001758492,0,0
Pkm,3.58E-20,-0.360367659,0.535,0.641,9.52E-16,0,0
Tbc1d10a,7.98E-07,-0.360650131,0.142,0.187,0.021212953,0,0
Atp5g2,2.49E-11,-0.360763941,0.199,0.27,6.61E-07,0.450920889,0.62131525
Rabggtb,1.16E-16,-0.361132005,0.266,0.365,3.09E-12,0,0
Snrpd2,2.26E-08,-0.361536296,0.107,0.153,0.000600861,0,0
Gnpnat1,7.42E-07,-0.361804948,0.113,0.153,0.019732667,0,0
Hip1r,4.19E-24,-0.362534091,0.563,0.677,1.11E-19,0,0
Faim2,1.14E-11,-0.362855494,0.235,0.31,3.03E-07,0,0
Txn1,7.07E-10,-0.363411951,0.109,0.159,1.88E-05,0,0
Rps11,4.13E-15,-0.363782742,0.299,0.395,1.10E-10,0,0
Gfod2,1.60E-06,-0.363976801,0.413,0.478,0.042479253,0,0
Sgta,3.04E-20,-0.364419732,0.392,0.511,8.08E-16,0,0
Rack1,4.03E-08,-0.364510959,0.165,0.217,0.00107057,0,0
Grina,8.70E-16,-0.364599621,0.462,0.56,2.31E-11,0,0
Inpp5f,4.87E-17,-0.364900981,0.364,0.463,1.30E-12,-0.33280814,0
Sqle,3.72E-15,-0.3650048,0.272,0.362,9.89E-11,-0.657442123,0
Slc1a2,4.35E-32,-0.365225437,0.681,0.783,1.16E-27,0,0
Abhd14a,3.03E-08,-0.365346758,0.247,0.306,0.000805176,0,-0.34134416
Nop56,2.06E-18,-0.365433316,0.569,0.662,5.48E-14,0,0
Agbl1,3.27E-11,-0.365740279,0.123,0.181,8.69E-07,0,0
Podxl2,1.06E-18,-0.366973712,0.483,0.583,2.83E-14,0,0
Tbcc,3.40E-08,-0.367933336,0.087,0.128,0.000904914,0,0
Tmem11,5.29E-09,-0.368146359,0.18,0.238,0.000140525,0,0
Arf1,3.47E-14,-0.36864124,0.339,0.432,9.22E-10,0,0
Stac2,3.17E-22,-0.368849648,0.512,0.617,8.43E-18,0,0
Ddx54,3.16E-09,-0.368863953,0.141,0.195,8.40E-05,0,0
Camta2,3.47E-13,-0.369014672,0.388,0.477,9.23E-09,0,0
Rpl39,1.11E-07,-0.36906214,0.135,0.182,0.002959913,0,0
Npc2,3.79E-08,-0.369322099,0.121,0.168,0.001008539,0,0
Atf6b,1.38E-08,-0.369768858,0.125,0.174,0.000366881,0.32655508,0.384632515
Dclre1a,8.31E-07,-0.3702848,0.153,0.198,0.022083944,-0.54316262,0
Tmem259,5.31E-11,-0.370741795,0.242,0.316,1.41E-06,0,0
Armc6,8.00E-11,-0.37088343,0.193,0.257,2.13E-06,0,0
Pdxp,2.78E-10,-0.371149473,0.095,0.145,7.40E-06,0,0
B4galt3,1.78E-08,-0.371487743,0.165,0.218,0.000472287,0,0
A430106G13Rik,1.43E-06,-0.372198485,0.112,0.15,0.038122058,0,0
D1Ertd622e,9.66E-17,-0.372375358,0.293,0.391,2.57E-12,0,0
Ap5z1,9.14E-08,-0.372570829,0.141,0.189,0.002429719,0,0
Mrpl20,4.60E-09,-0.373216675,0.17,0.227,0.000122287,0,0
Ywhah,2.17E-17,-0.373220923,0.401,0.506,5.76E-13,0,0
Stmn1,2.90E-18,-0.373926526,0.427,0.531,7.70E-14,0,0
Fbxo9,1.45E-16,-0.374535941,0.346,0.445,3.85E-12,0,0
Nme1,1.05E-11,-0.374997169,0.316,0.397,2.79E-07,0,0
Gpn3,1.80E-06,-0.375231242,0.091,0.127,0.047810103,0,0
Rpl7,7.51E-11,-0.375312837,0.129,0.187,2.00E-06,0,0
Ndufb4,7.71E-14,-0.375318463,0.183,0.258,2.05E-09,0,0
Ugcg,3.78E-17,-0.375348008,0.302,0.402,1.00E-12,0,0
Hsd17b7,1.83E-08,-0.375827303,0.141,0.192,0.000486214,-0.598093489,0
Maml3,3.04E-36,-0.376549463,0.501,0.652,8.07E-32,0,0
Sstr2,2.18E-10,-0.376837646,0.126,0.18,5.79E-06,0,0
Tmem62,1.84E-10,-0.377291821,0.171,0.233,4.88E-06,0,0
Atp23,9.87E-09,-0.377454749,0.168,0.223,0.000262382,0,0
Rpl29,9.21E-16,-0.377601699,0.209,0.296,2.45E-11,0,0
Cul4a,4.00E-43,-0.378110747,0.857,0.923,1.06E-38,0.395653924,0
Jrkl,6.82E-07,-0.378111685,0.085,0.121,0.018144373,0,0
Tmem232,3.09E-07,-0.378215952,0.15,0.196,0.008223121,0,0
Sprn,1.68E-06,-0.37834818,0.088,0.123,0.044600232,0,0
Rabggta,4.86E-07,-0.379302721,0.122,0.165,0.012909778,0,0
Miga2,8.54E-25,-0.379482712,0.625,0.717,2.27E-20,0,0
Zdhhc23,2.35E-21,-0.37953916,0.392,0.508,6.25E-17,0,0
